,years,회사명,stock_code,전년도ESG,종합등급,매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율,유보율,영업이익률,지배주주순이익률,ROA,ROE,EPS(원),BPS(원),DPS(원),PBR,발행주식수,배당수익률,지속가능경영 보고서공시여부,매출액_상승률(퍼센트),영업이익_상승률,배당수익률_상승률,영업이익률_상승률,이사의 수,사외이사 수,사외이사 비율,녹색 기업 지정,총 임원 수,여성 임원 수 ,여성 임원 비율,남성 평균 연봉,여성 평균 연봉,남성 정규직 수,여성 정규직 수,남성 직원 수,여성 직원 수,직원 수,여성 직원 비율,남성 직원 비율,남성 정규직 비율,여성 정규직 비율,외국인 보유수량,외국인 지분율,시가총액,상장주식수,용수 사용량 등급,에너지 총량 등급,온실가스 배출총량 등급,RE100,high_carbon,sbti,자본비율,기업분류,장애인근로자수,장애인고용률,L재무구조,L성장성,L지배구조,L환경,L사회,L사회_등급,L환경_등급,L지배구조_등급,L성장성_등급,L재무구조_등급,업종명
0,2019,동화약품,000020,0,B,3072,96,96,91,91,0,766,2997,2997,0,279,25.57,982.04,3.125,2.97,2.44,3.05,326,10820,120,0.77,27931,1.44,0,0.0,-93,0.0,0.0,0,0,0.0,0,21,2,9.52380952380952,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,232110515700,27931470,5,5,5,0,0,0,0.796227417640808,1,0,0.0,8,3,6,15,2,,,,,,의약품
1,2020,동화약품,000020,B,B,2721,232,232,287,285,2,911,3427,3313,114,279,26.59,1094.99,8.52627710400588,10.48,7.09,9.04,1021,11950,180,1.64,27931,0.92,0,-11.42578125,136,-0.52,5.40127710400588,8,3,0.375,0,20,3,15.0,70213000,56095000,534,190,544,195,739,26.38700947,73.61299053,0.981617647,0.974358974,868919,3.11,548853385500,27931470,5,5,5,0,0,0,0.789995389580452,1,0,0.0,9,7,9,15,8,A,B,C,B,B,의약품
2,2021,동화약품,000020,B,C,2930,225,225,196,179,17,877,3601,3469,132,279,24.34,1149.13,7.67918088737201,6.1,4.44,5.27,640,12491,180,1.17,27931,1.23,0,7.68099963248805,-7,0.31,-0.847096216633866,4,3,0.75,0,22,3,13.6363636363636,72763000,57792000,525,192,535,197,732,26.91256831,73.08743169,0.981308411,0.974619289,658091,2.36,407799462000,27931470,5,5,5,0,0,0,0.804153640017865,1,0,0.0,9,6,9,15,8,A,C,C,C,B,의약품
3,2022,동화약품,000020,C,C,3404,299,299,216,204,12,825,3787,3644,143,279,21.78,1211.66,8.78378378378378,5.99,4.75,5.73,730,13117,180,0.71,27931,1.94,0,16.1774744027304,74,0.71,1.10460289641177,5,3,0.6,0,21,4,19.0476190476191,74000000,55000000,538,219,550,226,776,29.12371134,70.87628866,0.978181818,0.969026549,1172582,4.2,258645412200,27931470,5,5,5,0,0,0,0.821296898720451,1,0,0.0,8,10,9,15,8,B+,C,C,B+,B,의약품
4,2023,동화약품,000020,C,0,3611,188,188,282,274,8,1579,4071,3718,353,279,38.79,1237.0,5.20631404043201,7.6,5.5,7.45,982,13370,180,0.77,27931,1.75,0,6.08108108108107,-111,-0.19,-3.57746974335177,4,3,0.75,0,20,4,20.0,66000000,54000000,586,222,599,227,826,27.48184019,72.51815981,0.978297162,0.977973568,1273973,4.56,286856196900,27931470,5,5,5,0,0,0,0.720530973451327,2,0,0.0,8,4,10,15,8,B+,C,C,C,B,의약품
5,2019,KR모터스,000040,0,C,1326,-247,-247,-410,-405,-6,1089,352,185,167,947,309.21,-86.23,-18.6274509803922,-30.53,-27.45,-113.29,-2112,968,0,3.38,19163,0.0,0,0.0,-93,0.0,0.0,0,0,0.0,0,9,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,52854896925,189444075,5,5,5,0,1,0,0.244274809160305,1,0,0.0,4,3,7,15,4,,,,,,운수장비
6,2020,KR모터스,000040,C,C,1178,12,12,-115,-81,-34,1060,498,363,135,458,212.72,-35.01,1.01867572156197,-6.9,-7.66,-29.64,-294,1120,0,2.92,32448,0.0,0,-11.1613876319759,259,0.0,19.6461267019541,1,1,1.0,0,8,0,0.0,74019000,20162000,58,4,58,4,62,6.451612903,93.5483871,1.0,1.0,42265375,46.11,104035255430,91661018,5,5,5,0,1,0,0.319435535599743,1,0,0.0,4,7,10,15,4,C,C,C,B,D,운수장비
7,2021,KR모터스,000040,C,D,1335,-27,-27,-119,-95,-25,1182,502,370,132,481,235.36,-43.26,-2.02247191011236,-7.09,-7.35,-25.82,-278,1088,0,2.3,34033,0.0,0,13.3276740237691,-39,0.0,-3.04114763167433,5,2,0.4,0,6,0,0.0,40639000,22303000,46,6,46,6,52,11.53846154,88.46153846,1.0,1.0,44408662,46.19,83158823320,96137368,5,5,5,0,1,0,0.298099762470309,1,0,0.0,4,5,10,15,4,C,C,C,C,D,운수장비
8,2022,KR모터스,000040,D,D,1171,-62,-62,-130,-67,-63,1092,400,331,69,481,272.74,-56.63,-5.29461998292058,-5.71,-8.19,-19.06,-196,974,0,1.66,34033,0.0,0,-12.2846441947566,-35,0.0,-3.27214807280822,4,2,0.5,0,6,0,0.0,38165000,35035000,47,5,47,5,52,9.615384615,90.38461538,1.0,1.0,43613172,45.36,53837540400,96138465,5,5,5,0,1,0,0.268096514745308,1,0,0.0,4,2,10,15,4,C,C,C,D,D,운수장비
9,2023,KR모터스,000040,D,0,784,-179,-179,-210,-159,-51,1162,224,206,19,481,518.49,-90.07,-22.8316326530612,-20.29,-14.61,-59.28,-467,604,0,1.71,34033,0.0,0,-33.0486763450043,-117,0.0,-17.5370126701406,5,2,0.4,0,5,0,0.0,39333000,28969000,49,5,49,5,54,9.259259259,90.74074074,1.0,1.0,44850272,46.65,34417570470,96138465,5,5,5,0,1,0,0.161616161616162,1,0,0.0,4,1,10,15,4,C,C,C,D,D,운수장비
10,2019,경방,000050,0,C,3439,320,320,436,436,0,6292,7416,7416,0,137,84.85,5391.92,9.30503053213144,12.68,3.26,6.01,1591,27460,125,0.34,27415,1.35,0,0.0,-93,0.0,0.0,0,0,0.0,0,12,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,254413705600,27415270,5,5,5,0,1,0,0.541037426132633,2,0,0.0,10,3,9,15,2,,,,,,유통업
11,2020,경방,000050,C,C,3292,219,219,130,130,0,5230,7419,7420,0,137,70.49,5422.29,6.65249088699879,3.96,0.99,1.76,475,27611,125,0.45,27415,1.01,0,-4.27449840069788,-101,-0.34,-2.65253964513265,4,1,0.25,0,14,0,0.0,73716000,62240000,99,32,102,33,135,24.44444444,75.55555556,0.970588235,0.96969697,809672,2.95,339949348000,27415270,1,1,1,0,1,0,0.586528579334335,2,0,0.0,10,2,12,3,4,C,A,A,D,B,유통업
12,2021,경방,000050,C,D,3834,538,538,223,223,0,5187,7521,7522,0,137,68.96,5593.92,14.0323422013563,5.81,1.76,2.98,813,28470,125,0.48,27415,0.91,0,16.4641555285541,319,-0.1,7.3798513143575,4,1,0.25,0,13,0,0.0,93793000,61721000,106,53,126,77,203,37.93103448,62.06896552,0.841269841,0.688311688,556634,2.03,376959962500,27415270,1,1,5,0,1,0,0.591831916902738,2,0,0.0,10,10,12,7,5,C,B+,B+,B+,B,유통업
13,2022,경방,000050,D,C,3892,319,319,44,44,0,4933,7550,7550,0,137,65.34,5627.52,8.19630010277492,1.13,0.35,0.59,161,28638,125,0.38,27415,1.16,0,1.51278038601983,-219,0.25,-5.83604209858136,4,1,0.25,0,13,0,0.0,110249000,74812000,102,47,125,68,193,35.23316062,64.76683938,0.816,0.691176471,308472,1.13,296084916000,27415270,1,1,5,0,1,0,0.604822558679805,2,0,0.0,10,4,10,7,5,C,B+,C,C,B,유통업
14,2023,경방,000050,C,0,3935,160,160,-135,-135,0,4688,7380,7381,0,137,63.52,5503.75,4.06607369758577,-3.42,-1.1,-1.8,-491,28019,125,0.32,27415,1.41,0,1.10483042137719,-159,0.25,-4.13022640518915,4,1,0.25,0,13,1,7.69230769230769,116496000,71652000,98,48,124,85,209,40.66985646,59.33014354,0.790322581,0.564705882,277134,1.01,242350986800,27415270,5,5,5,0,1,0,0.611483967188665,2,0,0.0,10,4,10,15,5,C,C,C,C,B,유통업
15,2019,삼양홀딩스,000070,0,B+,24886,794,794,620,309,312,15600,20295,14196,6099,443,76.87,3123.72,3.19054890299767,1.24,1.8,2.18,3481,161186,2000,0.42,8564,2.99,1,0.0,-93,0.0,0.0,0,0,0.0,0,13,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,573806157000,8564271,5,5,5,0,0,0,0.565399080651901,1,0,0.0,12,3,8,15,3,,,,,,기타금융
16,2020,삼양홀딩스,000070,B+,B+,24712,1703,1703,1433,1023,410,17378,21558,15197,6361,443,80.61,3349.28,6.89138879896407,4.14,3.83,6.96,11537,172464,2250,0.43,8564,3.02,1,-0.699188298641806,909,0.0299999999999998,3.7008398959664,5,3,0.6,0,11,0,0.0,95739000,59284000,73,52,74,52,126,41.26984127,58.73015873,0.986486486,1.0,671877,7.85,638038189500,8564271,5,5,5,0,0,0,0.553677830285597,1,0,0.0,12,9,11,15,7,B+,C,B,B+,B+,기타금융
17,2021,삼양홀딩스,000070,B+,B+,31073,3517,3517,2741,2377,364,20352,24254,17516,6738,443,83.91,3872.29,11.318508029479,7.65,6.56,14.53,26803,198614,3000,0.49,8564,3.05,1,25.7405309161541,1814,0.0299999999999998,4.4271192305149,6,3,0.5,0,15,1,6.66666666666667,160492000,113943000,288,144,300,181,481,37.62993763,62.37006237,0.96,0.79558011,696665,8.13,841011412200,8564271,1,1,5,0,0,0,0.543738510514281,1,0,0.0,12,11,11,7,10,A+,B+,B,A,B+,기타금융
18,2022,삼양홀딩스,000070,B+,B+,33168,1323,1323,1058,710,348,20243,25235,17919,7316,443,80.22,3963.33,3.98878437047757,2.14,2.35,4.01,8007,203166,3500,0.34,8564,5.09,1,6.74218775142406,-2194,2.04,-7.3297236590014,7,4,0.571428571428571,0,18,1,5.55555555555556,169635000,124539000,332,165,341,194,535,36.26168224,63.73831776,0.973607038,0.850515464,625526,7.3,588365417700,8564271,1,1,1,0,0,0,0.554883680021109,1,0,0.0,12,6,11,3,9,A,A,B,B,B+,기타금융
19,2023,삼양홀딩스,000070,B+,B+,32109,948,948,2270,1724,546,23401,27965,19927,8038,443,83.68,4416.18,2.95244324021303,5.37,4.69,9.11,19436,225809,3500,0.31,8564,5.07,0,-3.19283646888567,-375,-0.0199999999999996,-1.03634113026454,7,4,0.571428571428571,0,19,3,15.7894736842105,171174000,130989000,351,170,366,200,566,35.33568905,64.66431095,0.959016393,0.85,712811,8.32,590934699000,8564271,5,5,5,0,0,0,0.544415675433644,1,0,0.0,12,3,11,15,9,A,C,B,C,B+,기타금융
20,2019,하이트진로,000080,0,B,20351,882,882,-424,-423,0,22377,10332,10325,7,3688,216.58,200.76,4.33393936415901,-2.08,-1.27,-3.86,-594,15566,700,1.86,70134,2.41,1,0.0,-93,0.0,0.0,0,0,0.0,0,37,1,2.7027027027027,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,2033874719000,70133611,5,5,5,0,1,0,0.315876364303403,1,0,0.0,12,3,9,15,3,,,,,,음식료품
21,2020,하이트진로,000080,B,B+,22563,1985,1985,866,867,-1,22235,10743,10738,5,3688,206.98,211.95,8.79758897309755,3.84,2.64,8.23,1216,16145,750,1.97,70134,2.35,1,10.8692447545575,1103,-0.0600000000000001,4.46364960893854,5,3,0.6,1,38,1,2.63157894736842,210255136,153648918,2429,553,2566,586,3152,18.59137056,81.40862944,0.946609509,0.943686007,6259922,8.93,2233755510350,70133611,1,1,1,0,1,0,0.325762629631876,1,0,0.0,12,10,12,2,9,A,A+,B+,B+,B+,음식료품
22,2021,하이트진로,000080,B+,B,22029,1741,1741,718,717,0,25379,10932,10926,5,3688,232.16,217.05,7.90321848472468,3.26,2.07,6.62,1007,16409,800,1.84,70134,2.65,1,-2.36670655497939,-244,0.3,-0.894370488372868,5,3,0.6,1,35,1,2.85714285714286,216687069,164113217,2444,554,2570,571,3141,18.17892391,81.82107609,0.950972763,0.970227671,2860757,4.08,2114528371650,70133611,1,1,1,0,1,0,0.301065792734984,1,0,0.0,12,4,12,2,9,A,A+,B+,C,B+,음식료품
23,2022,하이트진로,000080,B,B,24976,1906,1906,868,870,-2,21724,11610,11606,4,3688,187.11,235.48,7.63132607303011,3.48,2.49,7.72,1221,17363,950,1.47,70134,3.72,1,13.377820146171,165,1.07,-0.271892411694571,5,3,0.6,1,40,2,5.0,228743257,177276059,2403,537,2516,561,3077,18.2320442,81.7679558,0.95508744,0.957219251,9551952,13.62,1791913761050,70133611,1,1,1,0,1,0,0.348293034139317,1,0,0.0,12,9,12,2,9,A,A+,B+,B+,B+,음식료품
24,2023,하이트진로,000080,B,B+,25202,1239,1239,355,356,-1,22425,11159,10951,207,3688,200.96,217.73,4.91627648599317,1.41,1.06,3.16,500,16444,950,1.37,70134,4.22,0,0.904868673926962,-667,0.5,-2.71504958703694,5,3,0.6,1,39,2,5.12820512820513,236209566,182749381,2414,535,2514,552,3066,18.00391389,81.99608611,0.960222753,0.969202899,7481178,10.67,1578006247500,70133611,5,5,5,0,1,0,0.332281213709317,1,0,0.0,12,5,12,14,9,A,B+,B+,C,B+,음식료품
25,2019,유한양행,000100,0,B+,14804,125,125,366,400,-34,4672,16500,16463,37,651,28.32,2696.81,0.844366387462848,2.7,1.71,2.43,492,22359,318,1.77,80209,0.8,1,0.0,-93,0.0,0.0,0,0,0.0,0,25,1,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,3021787697500,12777115,5,5,5,0,0,0,0.779331192140563,3,0,0.0,13,3,9,15,2,,,,,,의약품
26,2020,유한양행,000100,B+,B+,16199,843,843,1904,1928,-24,5470,18465,18401,64,680,29.62,2864.18,5.2040249398111,11.9,8.44,11.06,2368,24779,333,2.66,80209,0.51,1,9.42312888408539,718,-0.29,4.35965855234825,10,3,0.3,1,27,2,7.40740740740741,98000000,65000000,1389,435,1405,450,1855,24.25876011,75.74123989,0.9886121,0.966666667,13855606,20.72,5020946431000,66856810,1,1,1,0,0,0,0.771464382703154,3,0,0.0,13,10,12,2,8,B+,A+,B+,B+,A,의약품
27,2021,유한양행,000100,B+,B+,16878,486,486,991,1026,-35,5279,19359,19269,90,712,27.27,2879.37,2.87948809100604,6.08,4.08,5.45,1260,26047,348,2.18,80209,0.61,1,4.19161676646707,-357,0.1,-2.32453684880506,8,5,0.625,1,27,4,14.8148148148148,97000000,64000000,1397,452,1413,465,1878,24.76038339,75.23961661,0.988676575,0.972043011,12005213,17.16,4345320753900,69972959,1,1,1,0,0,0,0.785737478691452,3,0,0.0,13,6,12,2,8,B+,A+,B+,B,A,의약품
28,2022,유한양행,000100,B+,A,17758,360,360,906,951,-46,4649,20078,19858,220,744,23.16,2850.25,2.02725532154522,5.36,3.67,4.86,1169,26973,364,2.03,80209,0.66,1,5.21388790141013,-126,0.05,-0.852232769460824,8,5,0.625,1,30,5,16.6666666666667,100000000,65000000,1427,468,1444,494,1938,25.49019608,74.50980392,0.988227147,0.947368421,14377622,19.63,4188840427200,73231476,1,1,1,0,0,0,0.811986896914304,3,0,0.0,13,6,12,2,8,B+,A+,A,B,A,의약품
29,2023,유한양행,000100,B,B+,18590,568,568,1340,1361,-21,7123,21017,20511,506,778,33.89,2814.6,3.05540613232921,7.32,5.07,6.74,1672,27867,429,2.47,80209,0.62,0,4.68521229868228,208,-0.04,1.02815081078399,7,4,0.571428571428571,1,34,6,17.6470588235294,104000000,73000000,1456,492,1484,518,2002,25.87412587,74.12587413,0.981132075,0.94980695,14976122,19.54,5272739601600,76638657,5,5,5,0,0,0,0.746846238584272,3,0,0.0,13,9,12,14,8,B+,B+,B+,B+,A,의약품
30,2019,CJ대한통운,000120,0,A,104151,3072,3072,509,397,112,54548,36552,29918,6635,1141,149.23,2923.4,2.9495636143676,0.38,0.6,1.41,1741,151170,0,1.03,22812,0.0,0,0.0,-93,0.0,0.0,0,0,0.0,0,10,2,20.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,3535913320000,22812344,5,5,5,0,0,0,0.401229418221734,4,0,0.0,15,3,12,15,1,,,,,,운수창고업
31,2020,CJ대한통운,000120,A,A,107811,3253,3253,1426,1230,196,56036,40399,33381,7018,1141,138.7,3073.12,3.01731734238621,1.14,1.52,3.89,5393,158656,0,1.04,22812,0.0,0,3.51412852493016,181,0.0,0.0677537280186122,7,4,0.571428571428571,0,7,0,0.0,68000000,49000000,5220,843,5376,914,6290,14.53100159,85.46899841,0.970982143,0.922319475,4797083,21.03,3775442932000,22812344,1,1,3,0,0,0,0.418924664281641,4,0,0.0,15,9,15,5,7,B+,B+,A,B+,A,운수창고업
32,2021,CJ대한통운,000120,A,B+,113437,3439,3439,1583,547,1035,49776,40164,35655,4509,1141,123.93,3272.42,3.03163870694747,0.48,1.7,1.59,2400,168621,0,0.75,22812,0.0,0,5.21839144428675,186,0.0,0.0143213645612557,7,4,0.571428571428571,0,7,1,14.2857142857143,74000000,57000000,5336,863,5463,888,6351,13.98205007,86.01794993,0.9767527,0.971846847,4853711,21.28,2874355344000,22812344,1,1,3,0,0,0,0.446569341442533,4,0,0.0,15,9,15,5,7,B+,B+,A,B+,A,운수창고업
33,2022,CJ대한통운,000120,B+,A,121307,4118,4118,1968,1816,153,56590,40343,35707,4636,1141,140.27,3277.04,3.39469280420751,1.5,2.11,5.09,7959,168852,500,0.55,22812,0.53,0,6.93777162654161,679,0.53,0.363054097260038,7,4,0.571428571428571,0,7,1,14.2857142857143,71000000,56000000,5769,970,5883,1000,6883,14.5285486,85.4714514,0.980622132,0.97,3861290,16.93,2137516632800,22812344,1,1,3,0,0,0,0.416194691178443,4,0,0.0,14,10,15,5,8,B+,B+,A,B+,A,운수창고업
34,2023,CJ대한통운,000120,A,A,117679,4802,4802,2429,2248,181,53145,40431,36039,4392,1141,131.45,3306.07,4.08059211923963,1.91,2.55,6.27,9854,170304,500,0.75,22812,0.39,0,-2.99075898340574,684,-0.14,0.68589931503212,7,4,0.571428571428571,0,7,1,14.2857142857143,79000000,56000000,5809,1032,5969,1072,7041,15.22511007,84.77488993,0.97319484,0.962686567,2905634,12.74,2901730156800,22812344,5,5,5,0,0,0,0.43206591433701,4,0,0.0,15,7,15,15,8,B+,C,A,B,A,운수창고업
35,2019,하이트진로홀딩스,000140,0,B,20263,1009,1009,-401,-214,-188,28541,9826,4356,5470,1184,290.48,352.99,4.97951932092977,-1.06,-1.03,-4.65,-903,22649,350,0.58,23207,2.65,0,0.0,-93,0.0,0.0,0,0,0.0,0,8,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,306329298000,23206765,5,5,5,0,1,0,0.256105507337034,1,0,0.0,11,3,9,15,3,,,,,,기타금융
36,2020,하이트진로홀딩스,000140,B,B+,22470,2105,2105,1077,645,432,28446,10604,4929,5675,1184,268.26,401.98,9.36804628393414,2.87,2.78,13.89,2722,25099,400,0.6,23207,2.66,0,10.8917731826482,1096,0.0100000000000002,4.38852696300436,5,3,0.6,0,7,0,0.0,165000000,63000000,11,3,11,3,14,21.42857143,78.57142857,1.0,1.0,1162745,5.01,349261813250,23206765,5,5,5,0,1,0,0.271549295774648,1,0,0.0,11,11,12,15,3,D,C,B+,A,B+,기타금융
37,2021,하이트진로홀딩스,000140,0,B,21920,1884,1884,674,326,347,31489,10874,5140,5734,1184,289.59,422.08,8.5948905109489,1.49,1.65,6.48,1378,26104,450,0.47,23207,3.69,0,-2.44770805518469,-221,1.03,-0.773155772985231,5,3,0.6,0,7,0,0.0,176000000,85000000,10,3,10,3,13,23.07692308,76.92307692,1.0,1.0,1638748,7.06,283122533000,23206765,1,1,5,0,1,0,0.256686259235654,1,0,0.0,11,4,12,7,3,D,B+,B+,C,B+,기타금융
38,2022,하이트진로홀딩스,000140,B,B+,24843,2025,2025,720,301,419,27796,11654,5580,6074,1184,238.51,458.46,8.15118946987079,1.21,1.76,5.62,1272,27923,500,0.35,23207,5.14,0,13.3348540145985,141,1.45,-0.443701041078116,5,3,0.6,0,7,0,0.0,168000000,89000000,11,3,11,3,14,21.42857143,78.57142857,1.0,1.0,1726305,7.44,225569755800,23206765,1,1,5,0,1,0,0.295411913814956,1,0,0.0,11,9,12,7,3,C,B+,B+,B+,B+,기타금융
39,2023,하이트진로홀딩스,000140,B+,B+,25069,1381,1381,183,9,174,28746,11051,5291,5761,1184,260.11,433.65,5.50879572380231,0.04,0.46,0.17,38,26682,550,0.33,23207,6.31,0,0.909712997625078,-644,1.17,-2.64239374606848,5,3,0.6,0,8,0,0.0,212000000,92000000,11,3,11,3,14,21.42857143,78.57142857,1.0,1.0,1628498,7.02,202362990800,23206765,5,5,5,0,1,0,0.277677270214584,1,0,0.0,11,5,12,15,3,C,C,B+,C,B+,기타금융
40,2019,두산,000150,0,A+,179523,10700,10700,3138,3794,-656,225311,66036,14853,51183,1237,341.19,1249.89,5.96023907800115,2.11,1.08,21.93,16442,78004,5200,0.9,16524,7.4,1,0.0,-93,0.0,0.0,0,0,0.0,0,7,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1161625600500,16523835,5,5,5,0,0,0,0.226657559542401,5,0,0.0,15,3,13,15,3,,,,,,기타금융
41,2020,두산,000150,A+,A,114285,-204,-204,-9639,-5533,-4106,224354,77656,16597,61059,1237,288.91,1390.81,-0.178501115631973,-4.84,-3.25,-35.19,-25839,86147,2000,0.61,16524,3.82,1,-36.339633361742,-10904,-3.58,-6.13874019363312,7,4,0.571428571428571,0,7,0,0.0,538000000,328000000,2184,391,2197,404,2601,15.5324875,84.4675125,0.99408284,0.967821782,973701,5.89,865848954000,16523835,1,1,1,0,0,0,0.257130558590775,5,0,0.0,15,0,16,3,9,A,A,A+,D,A,기타금융
42,2021,두산,000150,A,B+,128515,9211,9211,6488,2039,4449,175357,84101,20781,63320,1237,208.51,1729.0,7.16725674045831,1.59,2.31,10.91,9523,105690,2000,1.12,16524,1.69,0,12.4513278207989,9415,-2.13,7.34575785609029,7,4,0.571428571428571,0,7,0,0.0,291000000,195000000,1685,326,1696,338,2034,16.61750246,83.38249754,0.993514151,0.964497041,1754707,10.62,1949812530000,16523835,1,1,1,0,0,0,0.324141094126988,5,0,0.0,15,10,16,3,8,B+,A,A+,B+,A,기타금융
43,2022,두산,000150,B+,B+,169958,11260,11260,-5812,-6964,1152,160175,102978,17907,85071,1237,155.54,1496.72,6.6251662175361,-4.1,-2.22,-36.0,-32522,92268,2000,0.9,16524,2.41,1,32.2475975567055,2049,0.72,-0.542090522922216,7,4,0.571428571428571,0,7,0,0.0,321000000,210000000,1735,329,1746,353,2099,16.81753216,83.18246784,0.993699885,0.932011331,1107375,6.7,1373130688500,16523835,1,1,1,0,0,0,0.391322191568435,5,0,0.0,15,9,15,3,9,A,A,A,B+,A,기타금융
44,2023,두산,000150,B+,A,191301,14363,14363,2721,-3883,6604,170801,112067,16241,95826,1237,152.41,1362.08,7.50806320928798,-2.03,1.0,-22.74,-18133,84487,2000,1.11,16524,2.13,0,12.5578083997223,3103,-0.28,0.882896991751884,7,4,0.571428571428571,0,7,1,14.2857142857143,334000000,223000000,1529,322,1540,340,1880,18.08510638,81.91489362,0.992857143,0.947058824,1766819,10.69,1551588106500,16523835,5,5,5,0,0,0,0.396181257689099,5,0,0.0,15,9,15,15,9,A,C,A,B+,A,기타금융
45,2019,성창기업지주,000180,0,C,1510,-30,-30,-109,-109,0,1779,5254,5252,2,360,33.86,1392.39,-1.98675496688742,-7.2,-1.61,-2.14,-156,7702,0,0.21,69752,0.0,0,0.0,-93,0.0,0.0,0,0,0.0,0,8,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,111951318000,69751600,5,5,5,0,0,0,0.747049623204891,2,0,0.0,7,3,8,15,1,,,,,,서비스업
46,2020,성창기업지주,000180,C,C,1709,80,80,51,51,0,1745,5329,5327,2,360,32.73,1414.27,4.68110005851375,2.97,0.72,0.96,73,7815,0,0.29,69752,0.0,0,13.1788079470199,110,0.0,6.66785502540117,3,1,0.333333333333333,0,7,0,0.0,59007242,24382316,26,8,27,8,35,22.85714286,77.14285714,0.962962963,1.0,1897340,2.72,155894826000,69751600,5,5,5,0,0,0,0.753322024314391,2,0,0.0,8,10,11,15,3,D,C,B,B+,B,서비스업
47,2021,성창기업지주,000180,C,D,1979,105,105,59,61,-2,1645,5393,5392,1,360,30.5,1434.54,5.30570995452249,3.08,0.84,1.14,87,7920,0,0.31,69752,0.0,0,15.7987126974839,25,0.0,0.624609896008735,3,1,0.333333333333333,0,9,0,0.0,61053471,30391000,32,9,33,9,42,21.42857143,78.57142857,0.96969697,1.0,1747139,2.5,170542662000,69751600,5,5,5,0,0,0,0.766377717777462,2,0,0.0,9,9,11,15,3,D,C,B,B+,B,서비스업
48,2022,성창기업지주,000180,D,D,2275,-115,-115,-131,-132,1,2245,5958,5956,1,360,37.69,1595.98,-5.05494505494506,-5.8,-1.72,-2.33,-189,8753,0,0.21,69752,0.0,0,14.9570490146539,-220,0.0,-10.3606550094675,3,1,0.333333333333333,0,10,0,0.0,36055440,34132162,40,9,41,10,51,19.60784314,80.39215686,0.975609756,0.9,1455728,2.09,129737976000,69751600,5,5,5,0,0,0,0.726319639156406,2,0,0.0,9,4,11,15,3,D,C,B,C,B,서비스업
49,2023,성창기업지주,000180,D,0,1663,-167,-167,-240,-240,-1,1958,5733,5732,1,360,34.15,1533.99,-10.0420926037282,-14.41,-3.02,-4.1,-343,8433,0,0.23,69752,0.0,0,-26.9010989010989,-52,0.0,-4.98714754878315,3,1,0.333333333333333,0,9,0,0.0,95464426,46327394,29,8,29,8,37,21.62162162,78.37837838,1.0,1.0,1518698,2.18,135318104000,69751600,5,5,5,0,0,0,0.745416720842543,2,0,0.0,8,1,11,15,3,D,C,B,D,B,서비스업
50,2019,DL,000210,0,B+,16604,1360,1360,7103,6650,453,67085,67367,59373,7994,2185,99.58,2617.28,8.1907973982173,40.05,5.41,11.74,17228,153815,1300,0.53,34800,1.59,1,0.0,-93,0.0,0.0,0,0,0.0,0,10,2,20.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,3149400000000,34800000,5,5,5,0,1,1,0.501048701395293,1,0,0.0,14,3,9,15,2,,,,,,화학
51,2020,DL,000210,B+,A,15661,1191,1191,5727,5050,677,106905,32113,25931,6183,2185,332.9,1086.76,7.60487836025797,32.24,4.19,11.84,13082,67178,1300,1.12,34800,1.73,1,-5.67935437244037,-169,0.14,-0.585919037959331,8,5,0.625,0,106,3,2.83018867924528,479000000,257000000,3592,254,5274,779,6053,12.86965141,87.13034859,0.681076981,0.32605905,11249500,32.33,2888400000000,34800000,5,5,5,0,1,1,0.230997201821334,1,0,0.0,14,3,13,15,8,B+,C,A,C,A,화학
52,2021,DL,000210,A,A,23588,1932,1932,7286,7204,82,37940,43867,37923,5944,1387,86.49,2635.4,8.1906053925725,30.54,6.6,22.56,34593,167577,1900,0.36,20956,3.12,1,50.6161803205415,741,1.39,0.585727032314529,5,3,0.6,0,11,2,18.1818181818182,208000000,94000000,23,6,31,8,39,20.51282051,79.48717949,0.741935484,0.75,2510368,11.98,1276213335600,20955884,1,1,5,0,1,1,0.53622550637476,1,0,0.0,13,10,12,7,4,C,B+,B+,B+,A,화학
