,years,회사명,stock_code,전년도ESG,종합등급,매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율,유보율,영업이익률,지배주주순이익률,ROA,ROE,EPS(원),BPS(원),DPS(원),PBR,발행주식수,배당수익률,지속가능경영 보고서공시여부,매출액_상승률(퍼센트),영업이익_상승률,배당수익률_상승률,영업이익률_상승률,이사의 수,사외이사 수,사외이사 비율,녹색 기업 지정,총 임원 수,여성 임원 수 ,여성 임원 비율,남성 평균 연봉,여성 평균 연봉,남성 정규직 수,여성 정규직 수,남성 직원 수,여성 직원 수,직원 수,여성 직원 비율,남성 직원 비율,남성 정규직 비율,여성 정규직 비율,외국인 보유수량,외국인 지분율,시가총액,상장주식수,용수 사용량 등급,에너지 총량 등급,온실가스 배출총량 등급,RE100,high_carbon,sbti,자본비율,기업분류,장애인근로자수,장애인고용률,L재무구조,L성장성,L지배구조,L환경,L사회,L사회_등급,L환경_등급,L지배구조_등급,L성장성_등급,L재무구조_등급,업종명
3840,2023,현대오토에버,307950,A,A,30650,1814,1814,1403,1378,25,12507,15923,15799,124,137,78.55,11422.99,5.9184339314845,4.49,5.14,9.01,5024,57615,1430,3.67,27424,0.68,0,11.2724632419677,390,-0.51,0.74871165883974,7,4,0.571428571428571,0,33,1,3.03030303030303,307000000,237000000,3614,1194,3645,1209,4854,24.90729295,75.09270705,0.991495199,0.987593052,900459,3.28,5800172193000,27423982,5,5,5,0,0,0,0.560057683514474,3,0,0.0,13,9,13,15,8,A,B,A,B+,A,서비스업
3841,2020,씨티알모빌리티,308170,0,B,3168,63,63,69,69,0,1675,1048,1048,0,43,159.9,2334.02,1.98863636363636,2.19,2.73,6.84,809,12170,0,2.2,8610,0.0,0,0.0,-93,0.0,0.0,7,3,0.428571428571429,0,10,0,0.0,270000000,116000000,131,6,132,8,140,5.714285714,94.28571429,0.992424242,0.75,47791,0.56,230317500000,8610000,5,5,5,0,1,0,0.384869629085567,1,0,0.0,7,3,9,15,2,D,B,C,C,C,운수장비
3842,2021,씨티알모빌리티,308170,B,B,3684,36,36,14,14,0,1802,979,979,0,43,184.01,2174.6,0.977198697068404,0.39,0.52,1.41,166,11373,0,1.98,8610,0.0,0,16.2878787878788,-27,0.0,-1.01143766656796,7,3,0.428571428571429,0,10,1,10.0,228000000,126000000,138,7,140,7,147,4.761904762,95.23809524,0.985714286,1.0,54316,0.63,193725000000,8610000,5,5,5,0,1,0,0.352031643293779,1,0,0.0,7,5,9,15,2,D,B,C,C,C,운수장비
3843,2022,씨티알모빌리티,308170,B,C,4231,-7,-7,11,11,0,1935,1038,1038,0,43,186.35,2312.27,-0.165445521153392,0.27,0.39,1.12,131,12061,0,1.08,8610,0.0,0,14.8479913137894,-43,0.0,-1.1426442182218,7,3,0.428571428571429,0,10,1,10.0,242000000,154000000,133,10,134,10,144,6.944444444,93.05555556,0.992537313,1.0,76999,0.89,111930000000,8610000,5,5,5,0,1,0,0.349024882313383,1,0,0.0,6,5,9,15,3,D,B,C,C,C,운수장비
3844,2023,씨티알모빌리티,308170,C,0,4442,5,5,-169,-169,0,2130,851,851,0,43,250.28,1876.87,0.112561909049978,-3.81,-5.68,-17.9,-1964,9884,0,1.24,8610,0.0,0,4.98700070905223,12,0.0,0.278007430203369,7,3,0.428571428571429,0,14,1,7.14285714285714,254000000,89000000,146,11,150,15,165,9.090909091,90.90909091,0.973333333,0.733333333,28679,0.33,105903000000,8610000,5,5,5,0,1,0,0.285474672928547,1,0,0.0,6,9,9,15,3,D,B,C,B+,C,운수장비
3845,2022,CJ 바이오사이언스,311690,0,C,41,-332,-332,-349,-349,0,417,497,497,0,29,84.05,1589.34,-809.756097560976,-856.84,-33.61,-50.78,-5312,7553,0,3.37,6574,0.0,0,0.0,-93,0.0,0.0,5,3,0.6,0,8,1,12.5,62000000,44000000,61,62,61,65,126,51.58730159,48.41269841,1.0,0.953846154,167282,2.85,170481488000,5878672,5,5,5,0,0,0,0.543763676148797,1,0,0.0,5,3,9,15,5,C,B,C,C,C,기타서비스
3846,2023,CJ 바이오사이언스,311690,C,0,56,-321,-321,-229,-229,0,196,715,715,0,46,27.46,1469.18,-573.214285714286,-410.99,-25.11,-37.83,-3050,7846,0,2.06,9113,0.0,0,36.5853658536585,11,0.0,236.54181184669,5,3,0.6,0,8,1,12.5,80000000,73000000,72,64,72,65,137,47.44525547,52.55474453,1.0,0.984615385,248800,2.73,147075782280,9112502,5,5,5,0,0,0,0.784851811196487,1,0,0.0,5,10,8,15,5,C,B,D,B+,C,기타서비스
3847,2020,자이에스앤디,317400,0,B,3562,273,273,209,209,0,2507,1625,1625,0,268,154.26,506.9,7.66423357664234,5.87,6.05,13.59,735,5713,142,2.05,28450,1.21,0,0.0,-93,0.0,0.0,5,3,0.6,0,10,0,0.0,162000000,108000000,409,92,2064,633,2697,23.4705228,76.5294772,0.198158915,0.145339652,727060,2.71,336120626000,26782520,5,5,5,0,0,0,0.393176869102347,1,0,0.0,8,3,10,15,6,B,B,C,C,B,서비스업
3848,2021,자이에스앤디,317400,B,B,4357,508,508,365,365,0,2360,3083,3040,43,388,76.54,683.94,11.6593986688088,8.39,7.63,15.66,1036,7839,200,1.18,38783,2.16,0,22.3189219539585,235,0.95,3.99516509216648,5,3,0.6,0,10,0,0.0,177000000,122000000,434,86,1920,637,2557,24.91200626,75.08799374,0.226041667,0.135007849,226461,0.58,358738310000,38782520,5,5,5,0,0,0,0.566415579643579,2,0,0.0,8,11,10,15,7,B+,B,C,A,B,서비스업
3849,2022,자이에스앤디,317400,B,C,24790,1989,1989,1519,962,557,12306,7221,4939,2282,490,170.44,907.35,8.02339653085922,3.88,12.17,24.11,2009,10074,300,0.6,38783,4.98,0,468.969474408997,1481,2.82,-3.6360021379496,5,3,0.6,0,12,0,0.0,199000000,131000000,520,98,1596,525,2121,24.75247525,75.24752475,0.325814536,0.186666667,436730,1.13,233858595600,38782520,5,5,5,0,0,0,0.369795667537256,3,0,0.0,11,9,13,15,7,B+,B,A,B+,B+,서비스업
