회사명,stock_code,2022년,2023년,2024년,E_value_등급,S_value_등급,G_value_등급,재무_value_등급,성장성_value_등급,업종명,2022년도,2023년도,2024년도,L사회등급,L환경등급,L지배구조등급,L성장성등급,L재무구조등급
삼성중공업,10140,B+,A0,A0,B0,A0,A0,A0,B+,운수장비,비플러스,에이,에이,비,에이,에이,에이,비플러스
HD현대미포,10620,B+,A0,A0,B0,B+,B+,A0,C0,운수장비,비플러스,에이,에이,비,비플러스,비플러스,에이,씨
한화에어로스페이스,12450,B+,A0,A0,B+,A0,A0,A0,B0,운수장비,비플러스,에이,에이,비플러스,에이,에이,에이,비
지누스,13890,B+,A0,A0,B0,C0,B0,B+,D0,기타제조업,비플러스,에이,에이,비,씨,비,비플러스,디
HL D&I,14790,B+,A0,A0,B0,B+,A0,B0,C0,건설업,비플러스,에이,에이,비,비플러스,에이,비,씨
한세예스24홀딩스,16450,B+,A0,A0,B+,C0,B+,B+,B+,섬유의복,비플러스,에이,에이,비플러스,씨,비플러스,비플러스,비플러스
E1,17940,B+,A0,A0,B0,C0,B+,A0,A0,유통업,비플러스,에이,에이,비,씨,비플러스,에이,에이
한섬,20000,B+,A0,A0,B0,B+,A0,B+,B+,섬유의복,비플러스,에이,에이,비,비플러스,에이,비플러스,비플러스
코웨이,21240,B+,A0,A0,B0,A0,A0,A0,B0,서비스업,비플러스,에이,에이,비,에이,에이,에이,비
콜마홀딩스,24720,B+,A0,A0,B0,C0,A0,B0,C0,기타금융,비플러스,에이,에이,비,씨,에이,비,씨
BGF,27410,B+,A0,A0,B0,D0,C0,B0,C0,기타금융,비플러스,에이,에이,비,디,씨,비,씨
신세계인터내셔날,31430,B+,A0,A0,B+,B+,B+,B+,B0,유통업,비플러스,에이,에이,비플러스,비플러스,비플러스,비플러스,비
광주신세계,37710,B+,A0,A0,B+,C0,B+,B0,C0,유통업,비플러스,에이,에이,비플러스,씨,비플러스,비,씨
한화오션,42660,B+,B+,A0,B0,A0,A0,A0,B0,운수장비,비플러스,비플러스,에이,비,에이,에이,에이,비
HD현대인프라코어,42670,B+,A0,A0,B0,A0,B+,A0,D0,기계,비플러스,에이,에이,비,에이,비플러스,에이,디
대우건설,47040,B+,A0,A0,B+,A0,A0,A0,B0,건설업,비플러스,에이,에이,비플러스,에이,에이,에이,비
한전기술,52690,B+,A0,A0,B0,A0,A0,B0,C0,서비스업,비플러스,에이,에이,비,에이,에이,비,씨
한미글로벌,53690,B+,B+,A0,B0,B+,A0,C0,C0,서비스업,비플러스,비플러스,에이,비,비플러스,에이,씨,씨
테이팩스,55490,B+,A0,A0,B0,C0,B+,D0,D0,화학,비플러스,에이,에이,비,씨,비플러스,디,디
KTis,58860,B+,B+,A0,B0,A0,B+,C0,B0,서비스업,비플러스,비플러스,에이,비,에이,비플러스,씨,비
HL홀딩스,60980,B+,A0,A0,B0,B0,A0,B+,C0,기타금융,비플러스,에이,에이,비,비,에이,비플러스,씨
금호타이어,73240,B+,A0,A0,B+,A0,A0,A0,B+,화학,비플러스,에이,에이,비플러스,에이,에이,에이,비플러스
CJ CGV,79160,B+,A0,A0,B0,A0,A0,B+,D0,서비스업,비플러스,에이,에이,비,에이,에이,비플러스,디
휴비스,79980,B+,A0,A0,B0,B0,B0,B0,B+,화학,비플러스,에이,에이,비,비,비,비,비플러스
휠라홀딩스,81660,B+,A0,A0,B0,C0,A0,B+,D0,유통업,비플러스,에이,에이,비,씨,에이,비플러스,디
대상홀딩스,84690,B+,B+,A0,B0,C0,C0,A0,B0,기타금융,비플러스,비플러스,에이,비,씨,씨,에이,비
AJ네트웍스,95570,B+,B+,A0,B+,A0,B0,B+,B0,서비스업,비플러스,비플러스,에이,비플러스,에이,비,비플러스,비
동성케미컬,102260,B+,A0,A0,B0,B0,B0,B+,B+,서비스업,비플러스,에이,에이,비,비,비,비플러스,비플러스
영원무역,111770,B+,B+,A0,B0,B0,A0,A0,C0,유통업,비플러스,비플러스,에이,비,비,에이,에이,씨
코오롱인더,120110,B+,B+,A0,B0,A0,A0,A0,C0,화학,비플러스,비플러스,에이,비,에이,에이,에이,씨
한미약품,128940,B+,B+,A0,B0,A0,A0,A0,B0,의약품,비플러스,비플러스,에이,비,에이,에이,에이,비
애경케미칼,161000,B+,A0,A0,B0,B+,B+,B+,D0,화학,비플러스,에이,에이,비,비플러스,비플러스,비플러스,디
한국콜마,161890,B+,A0,A0,B0,B+,A0,B+,B0,화학,비플러스,에이,에이,비,비플러스,에이,비플러스,비
종근당,185750,B+,B+,A0,B0,A0,B+,B+,B+,의약품,비플러스,비플러스,에이,비,에이,비플러스,비플러스,비플러스
해성디에스,195870,B+,A0,A0,B0,A0,A0,B0,C0,전기전자,비플러스,에이,에이,비,에이,에이,비,씨
서연이화,200880,B+,B+,A0,B0,B+,B+,B+,A0,운수장비,비플러스,비플러스,에이,비,비플러스,비플러스,비플러스,에이
한솔제지,213500,B+,A0,A0,B+,B+,A0,B+,C0,종이목재,비플러스,에이,에이,비플러스,비플러스,에이,비플러스,씨
두산밥캣,241560,B+,A0,A0,B0,C0,A0,A0,B0,기계,비플러스,에이,에이,비,씨,에이,에이,비
HD현대일렉트릭,267260,B+,A0,A0,B0,A0,B+,A0,B+,전기전자,비플러스,에이,에이,비,에이,비플러스,에이,비플러스
진에어,272450,B+,A0,A0,B0,A0,B+,B+,B+,운수창고업,비플러스,에이,에이,비,에이,비플러스,비플러스,비플러스
세아제강,306200,B+,A0,A0,B0,B0,B0,A0,A0,철강금속,비플러스,에이,에이,비,비,비,에이,에이
현대오토에버,307950,B+,A0,A0,B0,A0,A0,A0,B+,서비스업,비플러스,에이,에이,비,에이,에이,에이,비플러스
HD현대중공업,329180,B+,A0,A0,B+,A0,B+,A0,B0,운수장비,비플러스,에이,에이,비플러스,에이,비플러스,에이,비
두산퓨얼셀,336260,B+,A0,A0,B+,B+,B+,B+,D0,전기전자,비플러스,에이,에이,비플러스,비플러스,비플러스,비플러스,디
대덕전자,353200,B+,A0,A0,B0,A0,C0,B+,C0,전기전자,비플러스,에이,에이,비,에이,씨,비플러스,씨
LG전자,66570,A0,A0,A+,B0,A0,A0,A0,A+,전기전자,에이,에이,에이플러스,비,에이,에이,에이,에이플러스
